"user_id","doctor_id",
"100322634","[""1aa3e821-1f6a-4422-a223-a0a4ae58fbfb000"",""d804b838-fd43-4562-b271-63e006645f60000""]",
"100784803","[""125749739232123000""]",
"101191909","[""fe294d4f-9d89-46ff-8bf3-45cdc31bcb63000""]",
"101533690","[""FEC007C4F1D51EF0E040A8C00F012C86000""]",
"101917655","[""32407fec-6a0d-4181-91d3-a2fffc19797b000""]",
"101973412","[""951d1493-c720-11e1-913c-5cf9dd2e7135000""]",
"102103856","[""0dbe9e5a-0d42-4470-bb2f-edf96b06b2f6000""]",
"102168317","[""131615418090775000"",""0e00e56f-9759-49c1-b6b3-5c14142591db000""]",
"102325041","[""d9a0ba5d-c3dc-4afe-b51f-84b95cd514c8000""]",
"102371140","[""cbde8e79-f7a0-4586-b03d-6699a41969e7000""]",
"103402448","[""5addb7be-ffa6-44c0-9802-284198e8ef53000""]",
"103441713","[""719ca358-65a4-45ed-b0a6-2be4d312294d000""]",
"103595413","[""0ccdcb58-16bf-4bdf-ad73-e71f2aedba5b000""]",
"10373402","[""f908e3df-456a-4838-b552-1855b68d2800000""]",
"104396900","[""0d3ac46f-935b-4f01-b22d-84d61f476abf000"",""166e0370-658f-48e0-9746-a0b370f00e23000"",""30ca3dc4-73fb-4c0a-9e49-eff41481ad4a000""]",
"104473101","[""3c88d3b1-8547-4d71-a670-b9326053b9a9000""]",
"104902263","[""30e92fc0-d1e1-4152-a593-1d6a37f41ff5000""]",
"105214332","[""0DBAAC18CFFA422EA137FE909DDEDA17000""]",
"1054036","[""7f7dbfd2-a52d-4914-8b62-291d15562e05000"",""ce2679fe-45e4-491e-a8fc-923c3210d9bd000""]",
"105633255","[""bfd318ab-b30c-45f9-b9d2-bc7ca1a80b9d000""]",
"106013242","[""a4dfd009-89ca-4ec5-9cfc-08b01f560b1d000"",""95473b2c-b99c-4ff4-a24b-823dd98d1a97000"",""45a26540-ea9f-4050-b8ab-46cd5f034360000""]",
"10619656","[""014077ae-0b0a-4179-b4fb-9c223b2a5564000""]",
"1069475","[""21f6d69a-8c17-42d6-b68a-18cd623462a2000""]",
"107429348","[""320eb4d2-de15-463b-82e1-380bea3ccbe0000""]",
"107674932","[""fe70f340-5193-42f2-af33-cd006aaa542f000""]",
"10793733","[""d1c1349d-0d2b-4437-a5c8-cf6bd99e9a34000""]",
"108242106","[""8670b252-df41-4af1-8fed-6747951ceda6000"",""166e0370-658f-48e0-9746-a0b370f00e23000"",""97772d5d-c720-11e1-913c-5cf9dd2e7135000""]",
"10865822","[""d804b838-fd43-4562-b271-63e006645f60000""]",
"109500062","[""78638dd3-c0a6-4948-8f76-3644bd21e054000""]",
"109785614","[""30ca3dc4-73fb-4c0a-9e49-eff41481ad4a000""]",
"110315395","[""e1dce1a8-849a-4a5f-a5ea-3435278b5b04000""]",
"110435975","[""125749278861200000"",""9efe6d53-1201-47e2-8aee-cbdc6d2d7b47000""]",
"110596915","[""97f87020-0320-4bd3-bc4f-8a22d5c4354b000""]",
"110656188","[""412018ab-be06-455e-818e-722309d8bad9000""]",
"1107571","[""86f274fe-0bcd-4f0d-86f5-7cebe57d1fc8000""]",
"110794967","[""126708937434672000""]",
"11119957","[""9dcf38c5-baad-4ecc-9a4e-0c118b666c25000""]",
"111750216","[""73ee80db-881d-4486-894c-918ffadd4c36000"",""142899442690229000""]",
"112193075","[""95d020e5-c720-11e1-913c-5cf9dd2e7135000""]",
"113268708","[""2a4d73c2-de2f-4f80-89db-6d38392eb28a000""]",
"113478131","[""fa6d3297-4981-4380-a249-02591439d4ca000""]",
"114151269","[""c1e11162-2f74-46b6-847d-3e3b4803e42c000""]",
"114302799","[""c0885acf-d94a-46fa-8013-1ecf37abe02d000""]",
"115366043","[""a4e8d1ae-9866-4308-913a-510112787e62000""]",
"115591402","[""21751f26-aae7-4018-b35e-a6c9964ac1c8000""]",
"115683099","[""9cafb26a-0d19-4e03-a0cc-373537be7aef000""]",
"115937634","[""138181403941776000"",""9469444c-3cef-4f9c-aa2f-5d6af524a308000""]",
"116152598","[""96831121-c720-11e1-913c-5cf9dd2e7135000""]",
"116211840","[""dcfa7f1c-16ef-4717-b077-755a099a1d4d000"",""ac61d8e4-4b78-46ac-8df6-f22e22e9a19d000""]",
"116214029","[""c00088a2-a95e-4049-a724-e7117ab862e0000""]",
"11635909","[""6cbf20ec-3fb9-4a14-b7d3-0f3761c29a58000"",""91e8636b-ecdb-4f8d-8b8a-dd2cbf548b50000""]",
"116501944","[""227f54d6-4a4f-4d17-94f2-b15ea5805a31000""]",
"116833892","[""138327387817209000""]",
"116914066","[""059b24cc-5dad-442f-a102-9017c379b03b000""]",
"117144313","[""dcd48e5e-12ca-4656-9051-7cdf87170bea000""]",
"117181203","[""978fb3ae-c720-11e1-913c-5cf9dd2e7135000""]",
"117281719","[""cce57427-3aae-492b-87af-4d36ccc60ca2000""]",
"11775260","[""a9df30b4-215b-44f4-b41a-faf4c76498bb000"",""4658b244-812e-4a72-8dfb-dcfa3bfd83b7000""]",
"117755343","[""959f2099-c720-11e1-913c-5cf9dd2e7135000""]",
"11795207","[""ebe785b2-54cb-4739-ae4d-73f881986706000""]",
"118301838","[""28b47c41-9505-47ba-85b8-1a9affc24fc7000""]",
"118390242","[""71404c97-461a-47ee-9ca5-7223a3b4b8ef000"",""e4788d73-2942-4a58-b249-47614c2302c1000"",""4b9cb22f-7c93-4683-af23-f2f263324466000""]",
"118484564","[""8765628f-08ad-460d-a0eb-e59325c81ad8000"",""18afb35d-520a-4d28-8e3f-e08f8135b5da000""]",
"11890892","[""0ccdcb58-16bf-4bdf-ad73-e71f2aedba5b000""]",
