"target_id","exp_cnt","click_cnt","image_text_price",
"21ac0807-bcf0-429f-b6dc-78c8ca037247000","45","3","25.0000",
"21e45a46-60d4-45aa-8e2d-f35594083018000","32","1","30.0000",
"21edfd73-b7f1-4d84-8c6d-ae932a999ea8000","177","12","60.0000",
"2257cb0d-2cf2-4541-8d3e-05ebba22727f000","12","2","39.0000",
"24addb64-21d8-4346-98c0-0f220fa91acc000","17","","10.0000",
"252402ec-d5b7-4d14-9048-5d7b266a9d9c000","125","11","30.0000",
"257a46bf-1bf6-430f-af37-70f3cfa8abed000","920","39","60.0000",
"258bf81b-39a4-49ba-a4ce-6dcec5b666f2000","120","3","5.0000",
"262e0dc8-8477-40f2-978d-8bd2c7f2f9b1000","1804","56","99.0000",
"26e1a95a-7c9b-4fae-addb-8f5acc3d8b78000","22","1","45.0000",
"2709e28f-faf7-4154-86b8-2bc9cfa495f3000","26","2","30.0000",
"27606104-ceb4-4ab5-b4e9-988643df8ef6000","27","","",
"27879d3b-bbe9-44f9-9f98-3b323850d285000","17","","10.0000",
"27c0773f-2d24-4543-bcf3-e02e0bc6dd70000","45","1","20.0000",
"28a9921b-0d40-4c6c-abdf-c54163d5d488000","64","3","20.0000",
"28ed4ed6-4572-4d05-8f88-7eba6f5821fd000","301","4","30.0000",
"294402d4-6fdd-44b6-8d7f-f7737581a253000","11","1","30.0000",
"29487540-a282-4cb2-891b-435f932ebb51000","59","4","15.0000",
"2960ecfa-6828-4b5f-9abe-ce6d5ec0e71d000","12","","20.0000",
"2ae7dbf5-b75f-4686-ae14-767de28fe327000","507","37","60.0000",
"2b382393-94b0-4077-976d-28c7a59e4705000","12","","20.0000",
"2bf1503d-62c1-4788-8c81-7b30c240bb61000","20","1","",
"2c859a83-5234-46dd-ad98-73339885e094000","147","","40.0000",
"2c913db3-7975-4698-bba8-3f4efc64c419000","14","","5.0000",
"2d260485-d0e1-4b3b-9dc4-d95bdcce6460000","132","4","20.0000",
"2d3c7c9f-f0c6-4eb7-a9a1-7906a71b0018000","12","","30.0000",
"2d850c40-7cb9-4c0b-90ec-02130e9997dd000","11","","39.0000",
"2d8cbcf6-634e-47a3-8fce-6995993e5594000","627","29","50.0000",
"2d8e22f4-424c-4ac7-b4b9-5b42d4e9f6f3000","33","","50.0000",
"2d9971fd-95c5-4329-ae98-80e8b2b060a0000","11","","6.0000",
"2e447a28-da6b-4a2e-ba8c-c29a33a97dba000","28","1","80.0000",
"2e831e5d-0d5a-4c62-a2a0-e70c43261312000","81","5","150.0000",
"2eb52479-d768-4d1b-b3cf-ac7822c1b351000","106","3","20.0000",
"2ebb1855-366d-4b4d-971b-afa8ae002d3d000","290","7","25.0000",
"32780222-f075-4047-90b8-8fa1b6c602aa000","12","","30.0000",
"32903199-9235-4b4a-ada7-1599a8ac23e4000","629","10","79.0000",
"32e322c5-4b58-428b-9517-c9fee7f56ea4000","39","1","30.0000",
"330e3c93-7288-4a2a-99d8-11fef020a414000","12","2","500.0000",
"33125d13-b361-4d72-bde0-a294c9cb4c5d000","1170","65","20.0000",
"333fb1af-1d88-4bfb-bf3d-db7b8804d8e0000","18","","",
"338d9201-f87a-438e-bd49-8cef6ae16381000","70","1","30.0000",
"33e47630-e962-4491-ab8b-3c53b5e388e5000","12","3","0.0000",
"344b4492-b618-4ac5-8c02-e6fdadb3ef67000","200","8","58.0000",
"34c92571-61d0-4648-9bab-376cc256c631000","11","","",
"360e7957-72c1-4229-ba02-50ac58b3a107000","8723","477","100.0000",
"361235a9-3c99-45b1-a7b0-31fa40b4deab000","11","","20.0000",
"3631f0a7-20db-4be2-8d42-dbfecb462d72000","19","","",
"36ca3365-fd13-41fd-9945-21aab2353178000","148","2","40.0000",
"3748bb8a-5000-40ed-8f73-88224654f57a000","1419","34","39.0000",
"378f18ff-f81e-45a4-828e-ed1189dce716000","519","12","50.0000",
"37a52cf2-a6ec-492f-ab5d-5ef1faf82e55000","175","6","25.0000",
"389878ca-c3fe-4275-9cb6-9d2010e45af5000","59","2","10.0000",
"38a2faaa-bd75-46bc-bdca-69ae210163d4000","63","7","160.0000",
"38cacae0-52da-4c19-8aa3-c92d68d0af52000","16","","30.0000",
"399d5bdd-5c04-48a7-aa24-6bbb6b872849000","16","","",
"39daa62e-883a-424e-9024-d30b343cd230000","19","1","",
"3b65155d-e91b-4709-ba88-ec7b930f093c000","48","1","",
"3b68d1c8-32a0-41a7-b0ae-caa142566746000","22","","",
